force,newtons,time,peak,average
15.0,0.2,25,,
15.0,0.2,52,,
15.0,0.2,78,,
17.0,0.42,104,,
15.0,0.2,130,,
15.0,0.2,155,,
15.0,0.2,182,,
15.0,0.2,208,,
15.0,0.2,234,,
17.0,0.42,260,,
18.0,0.53,285,,
19.0,0.64,312,,
21.0,0.87,338,,
23.0,1.09,364,,
28.0,1.65,390,,
43.0,3.33,415,,
66.0,5.91,442,,
96.0,9.27,468,,
124.0,12.4,496,,
153.0,15.65,524,,
175.0,18.12,552,,
197.0,20.58,580,,
217.0,22.82,608,,
231.0,24.39,637,,
249.0,26.4,664,,
263.0,27.97,692,,
277.0,29.54,721,,
302.0,32.34,748,,
321.0,34.47,777,,
337.0,36.26,805,,
354.0,38.16,833,,
375.0,40.52,861,,
405.0,43.88,889,,
431.0,46.79,917,,
461.0,50.15,945,,
500.0,54.52,974,,
525.0,57.32,1001,,
546.0,59.67,1030,,
521.0,56.87,1058,,
478.0,52.05,1085,,
426.0,46.23,1114,,
330.0,35.48,1141,,
236.0,24.95,1170,,
167.0,17.22,1198,,
129.0,12.96,1225,,
90.0,8.6,1252,,
67.0,6.02,1278,,
52.0,4.34,1304,,
34.0,2.32,1330,,
25.0,1.32,1355,,
22.0,0.98,1382,,
20.0,0.76,1408,,
17.0,0.42,1434,,
16.0,0.31,1460,,
15.0,0.2,1486,,
17.0,0.42,1512,,
14.0,0.08,1538,,
15.0,0.2,1564,,
15.0,0.2,1590,,
15.0,0.2,1616,,
15.0,0.2,1642,,
17.0,0.42,1668,,
15.0,0.2,1694,,
15.0,0.2,1720,,
15.0,0.2,1746,,
15.0,0.2,1772,,
17.0,0.42,1798,,
15.0,0.2,1823,,
15.0,0.2,1850,,
14.0,0.08,1876,,
15.0,0.2,1902,,
17.0,0.42,1928,,
15.0,0.2,1954,,
15.0,0.2,1980,,
15.0,0.2,2006,,
14.0,0.08,2032,,
15.0,0.2,2058,,
15.0,0.2,2084,,
14.0,0.08,2110,,
14.0,0.08,2136,,
15.0,0.2,2162,,
15.0,0.2,2188,,
16.0,0.31,2214,,
15.0,0.2,2240,,
15.0,0.2,2266,,
14.0,0.08,2292,,
14.0,0.08,2318,,
15.0,0.2,2344,,
16.0,0.31,2370,,
15.0,0.2,2396,,
15.0,0.2,2421,,
15.0,0.2,2448,,
14.0,0.08,2474,,
15.0,0.2,2500,,
17.0,0.42,2526,,
14.0,0.08,2552,,
15.0,0.2,2578,,
15.0,0.2,2604,,
15.0,0.2,2630,,
16.0,0.31,2656,,
15.0,0.2,2682,,
15.0,0.2,2708,,
14.0,0.08,2734,,
15.0,0.2,2760,,
13.0,-0.03,2787,,
15.0,0.2,2813,,
14.0,0.08,2839,,
13.0,-0.03,2866,,
16.0,0.31,2893,,
,,,546.0,95.09
